SEGMENTID,ONSTREETNAME 1,FROMSTREETNAME,TOSTREETNAME,BOROUGH_CODE,WORK_START_DATE,WORK_END_DATE,PURPOSE
41734,AV D       ,EAST   39 STREET,EAST   40 STREET,B,2018-11-13 00:00:00,2018-11-19 23:59:59,DOT IN-HOUSE PAVING
168508,LINWOOD ST       ,ATLANTIC AVENUE,LIBERTY AVENUE,B,2018-12-29 00:00:00,2018-12-30 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
168508,LINWOOD ST       ,ATLANTIC AVENUE,LIBERTY AVENUE,B,2018-12-29 00:00:00,2018-12-30 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
168508,LINWOOD ST       ,ATLANTIC AVENUE,LIBERTY AVENUE,B,2018-12-29 00:00:00,2018-12-30 23:58:59,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV
79913,CRESTON AV       ,EAST  190 STREET,EAST  191 STREET,X,2018-11-01 14:09:40,2018-11-21 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
47155,HERKIMER ST       ,SACKMAN STREET,SHERLOCK PLACE,B,2018-05-17 00:00:00,2018-05-22 23:59:59,DOT IN-HOUSE PAVING
47162,HERKIMER ST       ,JARDINE PLACE,SACKMAN STREET,B,2018-05-17 00:00:00,2018-05-22 23:59:59,DOT IN-HOUSE PAVING
47168,HERKIMER ST       ,HAVENS PLACE,JARDINE PLACE,B,2018-05-17 00:00:00,2018-05-22 23:59:59,DOT IN-HOUSE PAVING
47179,HERKIMER ST       ,HAVENS PLACE,VAN SINDEREN AVENUE,B,2018-05-17 00:00:00,2018-05-22 23:59:59,DOT IN-HOUSE PAVING
9008377,SEWARD AV       ,BOLTON AVENUE,UNDERHILL AVENUE,X,2018-05-31 14:46:30,2018-08-28 23:59:59,DOT IN-HOUSE PAVING
9008378,SEWARD AV       ,BOLTON AVENUE,UNDERHILL AVENUE,X,2018-05-31 14:46:30,2018-08-28 23:59:59,DOT IN-HOUSE PAVING
91273,56 AV       ,141 STREET,MAIN STREET,Q,2018-06-16 00:00:00,2018-07-02 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
91273,56 AV       ,141 STREET,MAIN STREET,Q,2018-06-16 00:00:00,2018-07-02 23:58:59,PLACE CRANE OR SHOVEL ON STREET
91278,56 AV       ,141 STREET,142 STREET,Q,2018-06-16 00:00:00,2018-07-02 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
111986,FOREST AV       ,DUER LANE,HAVEN ESPLANADE,S,2018-10-05 07:18:59,2018-10-31 23:59:59,DOT IN-HOUSE PAVING
114000,NEWPORT AV       ,BEND,VAN NEST AVENUE,X,2018-10-12 07:37:11,2019-01-09 23:59:59,DOT IN-HOUSE PAVING
91278,56 AV       ,141 STREET,142 STREET,Q,2018-06-16 00:00:00,2018-07-02 23:58:59,PLACE CRANE OR SHOVEL ON STREET
55648,109 AV       ,141 STREET,142 STREET,Q,2018-03-19 00:00:00,2018-04-30 23:59:59,DOT IN-HOUSE MILLING
55648,109 AV       ,141 STREET,142 STREET,Q,2018-03-19 00:00:00,2018-04-30 23:59:59,DOT IN-HOUSE PAVING
54238,E 8 RD   ,102 STREET,103 STREET,Q,2018-04-15 00:00:00,2018-04-20 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
54238,E 8 RD   ,102 STREET,103 STREET,Q,2018-04-15 00:00:00,2018-04-20 23:58:59,PLACE CRANE OR SHOVEL ON STREET
55652,141 ST       ,GLASSBORO AVENUE,LAKEWOOD AVENUE,Q,2018-03-19 00:00:00,2018-04-30 23:59:59,DOT IN-HOUSE MILLING
91369,142 ST       ,56 AVENUE,56 ROAD,Q,2018-06-16 00:00:00,2018-07-02 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
43159,SCHENECTADY AV       ,PRESIDENT STREET,UNION STREET,B,2018-05-10 00:00:00,2018-05-16 23:59:59,DOT IN-HOUSE PAVING
168509,LINWOOD ST       ,ATLANTIC AVENUE,LIBERTY AVENUE,B,2018-12-29 00:00:00,2018-12-30 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
168509,LINWOOD ST       ,ATLANTIC AVENUE,LIBERTY AVENUE,B,2018-12-29 00:00:00,2018-12-30 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
187116,THROGS NECK EXPY      ,TNE SB EXIT,RANDALL AVENUE,X,2018-03-27 07:41:28,2018-06-24 23:59:59,DOT IN-HOUSE PAVING
187184,THROGS NECK EXPY      ,TNE SB EXIT,RANDALL AVENUE,X,2018-03-27 07:41:28,2018-06-24 23:59:59,DOT IN-HOUSE PAVING
273590,SPRUCE ST       ,NASSAU STREET,PARK ROW,M,2018-06-16 00:00:00,2018-06-25 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
273590,SPRUCE ST       ,NASSAU STREET,PARK ROW,M,2018-06-16 00:00:00,2018-06-25 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
9001641,VAN SICLEN AV,STANLEY AVENUE,WORTMAN AVENUE,B,2018-04-19 00:00:00,2018-04-27 23:59:59,DOT IN-HOUSE MILLING
9001642,VAN SICLEN AV,STANLEY AVENUE,WORTMAN AVENUE,B,2018-04-19 00:00:00,2018-04-27 23:59:59,DOT IN-HOUSE MILLING
9001643,VAN SICLEN AV,STANLEY AVENUE,WORTMAN AVENUE,B,2018-04-19 00:00:00,2018-04-27 23:59:59,DOT IN-HOUSE MILLING
186702,E 56 ST    ,FARRAGUT ROAD,FOSTER AVENUE,B,2018-05-31 00:00:00,2018-06-12 23:59:59,DOT IN-HOUSE MILLING
186703,E 56 ST    ,FARRAGUT ROAD,FOSTER AVENUE,B,2018-05-31 00:00:00,2018-06-12 23:59:59,DOT IN-HOUSE MILLING
186933,85 ST       ,25 AVENUE,ASTORIA BOULEVARD,Q,2018-05-20 00:00:00,2018-06-03 23:58:59,MAJOR INSTALLATIONS - SEWER-PROTECTED
186934,85 ST       ,25 AVENUE,ASTORIA BOULEVARD,Q,2018-05-20 00:00:00,2018-06-03 23:58:59,MAJOR INSTALLATIONS - SEWER-PROTECTED
9001965,TIMPSON PL       ,EAST  147 STREET,EAST  149 STREET,X,2018-03-28 00:00:00,2018-04-29 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
87065,FRISBY AV       ,BENSON STREET,EAST TREMONT AVENUE,X,2018-03-19 00:00:00,2018-05-01 23:58:59,CONTRACT ROADWAY MILLING
168509,LINWOOD ST       ,ATLANTIC AVENUE,LIBERTY AVENUE,B,2018-12-29 00:00:00,2018-12-30 23:58:59,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV
168810,VANDALIA AV       ,ERSKINE STREET,FOUNTAIN AVENUE,B,2018-11-30 12:59:03,2018-12-30 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
16163,CASTLETON AV       ,JERSEY STREET,PINE STREET,S,2018-07-10 00:00:00,2018-10-08 23:58:59,CONTRACT ROADWAY MILLING
14654,SAND LA       ,OLYMPIA BOULEVARD,ROBIN ROAD,S,2018-07-12 09:21:16,2018-08-31 23:59:59,DOT IN-HOUSE PAVING
27400,E 24 ST    ,AVENUE M,AVENUE N,B,2018-05-30 00:00:00,2018-06-22 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
27400,E 24 ST    ,AVENUE M,AVENUE N,B,2018-05-30 00:00:00,2018-06-22 23:58:59,PLACE CRANE OR SHOVEL ON STREET
188047,RIVERSIDE DR       ,BEND,WEST  158 STREET,M,2018-08-30 00:00:00,2018-09-30 23:59:59,DOT IN-HOUSE PAVING
115827,165 ST       ,85 AVENUE,BEND,Q,2018-06-25 00:00:00,2018-07-25 23:59:59,DOT IN-HOUSE PAVING
115867,GOTHIC DR       ,168 STREET,BEND,Q,2018-06-25 00:00:00,2018-07-25 23:59:59,DOT IN-HOUSE MILLING
74393,CALAMUS AV       ,72 PLACE,72 STREET,Q,2018-03-09 10:08:13,2018-04-01 23:58:59,FINAL RESTORATION ONLY
115868,GOTHIC DR       ,168 STREET,BEND,Q,2018-06-25 00:00:00,2018-07-25 23:59:59,DOT IN-HOUSE MILLING
181679,94 AV       ,212 STREET,HOLLIS COURT BOULEVARD,Q,2018-04-23 00:00:00,2018-05-23 23:59:59,DOT IN-HOUSE PAVING
181680,94 AV       ,212 STREET,HOLLIS COURT BOULEVARD,Q,2018-04-23 00:00:00,2018-05-23 23:59:59,DOT IN-HOUSE MILLING
181690,91 AV       ,212 STREET,HOLLIS COURT BOULEVARD,Q,2018-04-23 00:00:00,2018-05-23 23:59:59,DOT IN-HOUSE MILLING
181690,91 AV       ,212 STREET,HOLLIS COURT BOULEVARD,Q,2018-04-23 00:00:00,2018-05-23 23:59:59,DOT IN-HOUSE PAVING
181691,91 AV       ,212 STREET,HOLLIS COURT BOULEVARD,Q,2018-04-23 00:00:00,2018-05-23 23:59:59,DOT IN-HOUSE PAVING
181713,212 PL       ,94 AVENUE,JAMAICA AVENUE,Q,2018-04-23 00:00:00,2018-05-23 23:59:59,DOT IN-HOUSE MILLING
18149,SOUTH END AV   ,RECTOR PLACE,WEST THAMES STREET,M,2018-03-14 10:05:04,2018-06-03 23:58:59,CONTRACT ROADWAY MILLING
18151,RECTOR PL       ,BEND,SOUTH END AVENUE,M,2018-03-14 10:05:06,2018-06-03 23:58:59,CONTRACT ROADWAY MILLING
18153,RECTOR PL       ,BEND,SOUTH END AVENUE,M,2018-03-14 10:05:06,2018-06-03 23:58:59,CONTRACT ROADWAY MILLING
18163,RECTOR PL       ,BEND,SOUTH END AVENUE,M,2018-03-14 10:05:06,2018-06-03 23:58:59,CONTRACT ROADWAY MILLING
41894,TROY AV       ,FENIMORE STREET,RUTLAND ROAD,B,2018-05-30 00:00:00,2018-06-04 23:59:59,DOT IN-HOUSE MILLING
41896,TROY AV       ,HAWTHORNE STREET,WINTHROP STREET,B,2018-05-30 00:00:00,2018-06-04 23:59:59,DOT IN-HOUSE MILLING
126922,68 ST       ,BLISS TERRACE,NARROWS AVENUE,B,2018-10-08 00:00:00,2018-10-16 23:59:59,DOT IN-HOUSE PAVING
126953,68 ST       ,BAY CLIFF TERRACE,COLONIAL ROAD,B,2018-10-08 00:00:00,2018-10-16 23:59:59,DOT IN-HOUSE PAVING
126954,68 ST       ,BAY CLIFF TERRACE,COLONIAL ROAD,B,2018-10-08 00:00:00,2018-10-16 23:59:59,DOT IN-HOUSE PAVING
126963,68 ST       ,BAY CLIFF TERRACE,RIDGE BOULEVARD,B,2018-10-08 00:00:00,2018-10-16 23:59:59,DOT IN-HOUSE PAVING
126964,68 ST       ,BAY CLIFF TERRACE,RIDGE BOULEVARD,B,2018-10-08 00:00:00,2018-10-16 23:59:59,DOT IN-HOUSE PAVING
9008748,CASTLE HILL AV,LACOMBE AVENUE,RANDALL AVENUE,X,2018-05-31 14:49:25,2018-08-28 23:59:59,DOT IN-HOUSE PAVING
126965,68 ST       ,BAY CLIFF TERRACE,RIDGE BOULEVARD,B,2018-10-08 00:00:00,2018-10-16 23:59:59,DOT IN-HOUSE PAVING
126966,68 ST       ,3 AVENUE,MADELINE COURT,B,2018-10-08 00:00:00,2018-10-16 23:59:59,DOT IN-HOUSE PAVING
126967,68 ST       ,3 AVENUE,MADELINE COURT,B,2018-10-08 00:00:00,2018-10-16 23:59:59,DOT IN-HOUSE PAVING
126968,68 ST       ,MADELINE COURT,RIDGE BOULEVARD,B,2018-10-08 00:00:00,2018-10-16 23:59:59,DOT IN-HOUSE PAVING
126969,68 ST       ,MADELINE COURT,RIDGE BOULEVARD,B,2018-10-08 00:00:00,2018-10-16 23:59:59,DOT IN-HOUSE PAVING
69918,E 139 ST     ,ALEXANDER AVENUE,WILLIS AVENUE,X,2018-08-27 00:00:00,2018-09-16 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
76504,32 AV       ,89 STREET,90 STREET,Q,2018-08-24 10:35:43,2018-09-28 23:59:59,DOT IN-HOUSE PAVING
42109,CLARKSON AV       ,EAST   52 STREET,EAST   53 STREET,B,2018-11-14 00:00:00,2018-11-21 23:59:59,DOT IN-HOUSE PAVING
42228,CLARKSON AV       ,EAST   53 STREET,EAST   54 STREET,B,2018-11-14 00:00:00,2018-11-21 23:59:59,DOT IN-HOUSE PAVING
126813,79 ST       ,3 AVENUE,4 AVENUE,B,2018-08-27 00:00:00,2018-11-25 23:58:59,CONTRACT ROADWAY MILLING
112258,FAIRVIEW PL       ,CROMWELL CIRCLE,TODT HILL ROAD,S,2018-03-19 15:37:47,2018-06-17 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION WATER
112258,FAIRVIEW PL       ,CROMWELL CIRCLE,CROMWELL CIRCLE,S,2018-03-19 16:04:07,2018-06-17 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION WATER
112259,FAIRVIEW PL       ,CROMWELL CIRCLE,TODT HILL ROAD,S,2018-03-19 15:37:47,2018-06-17 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION WATER
112259,FAIRVIEW PL       ,CROMWELL CIRCLE,CROMWELL CIRCLE,S,2018-03-19 16:04:07,2018-06-17 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION WATER
114100,CROMWELL CIR       ,BEND,BEND,S,2018-03-19 15:37:45,2018-06-17 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION WATER
114100,CROMWELL CIR       ,FAIRVIEW PLACE,FOUR CORNERS ROAD,S,2018-03-19 15:37:46,2018-06-17 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION WATER
114101,CROMWELL CIR       ,BEND,BEND,S,2018-03-19 15:37:45,2018-06-17 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION WATER
114101,CROMWELL CIR       ,FAIRVIEW PLACE,FOUR CORNERS ROAD,S,2018-03-19 15:37:46,2018-06-17 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION WATER
114102,CROMWELL CIR       ,FAIRVIEW PLACE,FOUR CORNERS ROAD,S,2018-03-19 15:37:46,2018-06-17 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION WATER
5217,SOUTH AV       ,EDWARD CURRY AVENUE,HUGHES AVENUE,S,2018-09-07 08:05:20,2018-11-15 23:58:59,CONTRACT ROADWAY MILLING
57172,INWOOD ST       ,107 AVENUE,SOUTH ROAD,Q,2018-03-19 00:00:00,2018-04-30 23:59:59,DOT IN-HOUSE PAVING
57173,S RD       ,INWOOD STREET,PRINCETON STREET,Q,2018-03-19 00:00:00,2018-04-30 23:59:59,DOT IN-HOUSE MILLING
5218,SOUTH AV       ,FAHY AVENUE,HUGHES AVENUE,S,2018-09-07 08:05:19,2018-11-15 23:58:59,CONTRACT ROADWAY MILLING
174017,RIVER AV       ,EAST  161 STREET,EAST  162 STREET,X,2018-03-23 13:03:05,2018-04-02 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
174017,RIVER AV       ,EAST  161 STREET,EAST  162 STREET,X,2018-03-23 13:03:05,2018-04-02 23:58:59,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV
174017,RIVER AV       ,EAST  161 STREET,EAST  162 STREET,X,2018-03-23 13:03:06,2018-04-02 23:58:59,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV
163312,SHORE PKWY       ,EAST   12 STREET,HOMECREST AVENUE,B,2018-07-26 00:00:00,2018-07-31 23:59:59,DOT IN-HOUSE PAVING
103089,SHILOH AV       ,250 STREET,251 STREET,Q,2018-05-01 00:00:00,2018-06-01 23:59:59,DOT IN-HOUSE MILLING
103089,SHILOH AV       ,250 STREET,251 STREET,Q,2018-05-01 00:00:00,2018-06-01 23:59:59,DOT IN-HOUSE PAVING
168923,ELDERT LA       ,ATLANTIC AVENUE/ATLANTIC AVENUE,93 AVENUE/ELDERTS LANE,B,2018-04-04 00:00:00,2018-04-10 23:59:59,DOT IN-HOUSE PAVING
168924,ELDERT LA       ,ATLANTIC AVENUE/ATLANTIC AVENUE,93 AVENUE/ELDERTS LANE,B,2018-04-04 00:00:00,2018-04-10 23:59:59,DOT IN-HOUSE PAVING
121020,10 AV       ,ISHAM STREET,SHERMAN AVENUE,M,2018-06-07 00:00:00,2018-07-02 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
5333,SOUTH AV       ,GOETHALS ROAD NORTH,REGAL WALK,S,2018-09-10 00:00:00,2018-11-15 23:58:59,CONTRACT ROADWAY MILLING-PROTECTED
33295,E 25 ST    ,1 AVENUE,2 AVENUE,M,2018-06-09 00:00:00,2018-06-10 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
33295,E 25 ST    ,1 AVENUE,2 AVENUE,M,2018-06-09 00:00:00,2018-06-10 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
33295,E 25 ST    ,1 AVENUE,2 AVENUE,M,2018-06-09 00:00:00,2018-06-10 23:58:59,PLACE CRANE OR SHOVEL ON STREET
5343,SOUTH AV       ,REGAL WALK,WOLKOFF LANE,S,2018-09-10 00:00:00,2018-11-15 23:58:59,CONTRACT ROADWAY MILLING-PROTECTED
5344,SOUTH AV       ,LISK AVENUE,WOLKOFF LANE,S,2018-09-10 00:00:00,2018-11-15 23:58:59,CONTRACT ROADWAY MILLING-PROTECTED
5345,SOUTH AV       ,AMADOR STREET,LISK AVENUE,S,2018-09-10 00:00:00,2018-11-15 23:58:59,CONTRACT ROADWAY MILLING-PROTECTED
5452,SOUTH AV       ,FOREST AVENUE,WEMPLE STREET,S,2018-09-10 00:00:00,2018-11-15 23:58:59,CONTRACT ROADWAY MILLING-PROTECTED
23774,PARK ST       ,MOTT STREET,MULBERRY STREET,M,2018-03-19 00:00:00,2018-06-01 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
106840,34 ST       ,47 AVENUE,NYCTA SUBWAY,Q,2018-07-30 00:00:00,2018-08-30 23:59:59,DOT IN-HOUSE PAVING
106841,34 ST       ,47 AVENUE,NYCTA SUBWAY,Q,2018-07-30 00:00:00,2018-08-30 23:59:59,DOT IN-HOUSE PAVING
32638,W 18 ST    ,6 AVENUE,7 AVENUE,M,2018-06-02 00:00:00,2018-06-11 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
32638,W 18 ST    ,6 AVENUE,7 AVENUE,M,2018-06-02 00:00:00,2018-06-11 23:58:59,PLACE CRANE OR SHOVEL ON STREET
107959,VIRGINIA AV       ,TILSON PLACE,VERMONT AVENUE,S,2018-07-19 08:17:54,2018-08-31 23:59:59,DOT IN-HOUSE PAVING
105784,BATTERY PARK VIADUCT      ,JOE DIMAGGIO HIGHWAY,BKLYN BATTERY TUNNEL,M,2018-07-17 14:19:20,2018-08-01 23:58:59,NYCDOT-BRIDGES RECONSTRUCTION
105785,BATTERY PARK VIADUCT      ,JOE DIMAGGIO HIGHWAY,BKLYN BATTERY TUNNEL,M,2018-07-17 14:19:20,2018-08-01 23:58:59,NYCDOT-BRIDGES RECONSTRUCTION
108189,TRANTOR PL       ,DR M L KING JR EP ET   13 NB,BAYONNE BRIDGE ENTRANCE,S,2018-07-19 08:37:22,2018-08-31 23:59:59,DOT IN-HOUSE PAVING
108478,TRANTOR PL       ,INNIS STREET,BAYONNE BRIDGE ENTRANCE,S,2018-07-19 08:37:22,2018-08-31 23:59:59,DOT IN-HOUSE PAVING
94803,LAYTON AV       ,CLARENCE AVENUE,WILCOX AVENUE,X,2018-04-06 08:43:14,2018-07-04 23:59:59,DOT IN-HOUSE PAVING
105839,3 AV       ,3 STREET,6 STREET,B,2018-04-25 00:00:00,2018-05-11 23:59:59,DOT IN-HOUSE PAVING
105840,3 AV       ,3 STREET,6 STREET,B,2018-04-25 00:00:00,2018-05-11 23:59:59,DOT IN-HOUSE PAVING
40790,E 39 ST    ,AVENUE K,HUBBARD PLACE,B,2018-11-05 00:00:00,2018-11-09 23:59:59,DOT IN-HOUSE MILLING
132471,BATTERY PARK VIADUCT      ,JOE DIMAGGIO HIGHWAY,BKLYN BATTERY TUNNEL,M,2018-08-01 17:16:12,2018-10-30 23:58:59,NYCDOT-BRIDGES RECONSTRUCTION
109971,STADIUM AV       ,CAMPBELL DRIVE,DEAN AVENUE,X,2018-04-30 00:00:00,2018-05-31 23:58:59,CONTRACT ROADWAY MILLING
57142,REMINGTON ST       ,LUX ROAD,SHORE AVENUE,Q,2018-03-19 00:00:00,2018-04-30 23:59:59,DOT IN-HOUSE MILLING
57149,REMINGTON ST       ,LAKEWOOD AVENUE,LUX ROAD,Q,2018-03-19 00:00:00,2018-04-30 23:59:59,DOT IN-HOUSE MILLING
57149,REMINGTON ST       ,LAKEWOOD AVENUE,LUX ROAD,Q,2018-03-19 00:00:00,2018-04-30 23:59:59,DOT IN-HOUSE PAVING
16369,FORT PL       ,DANIEL LOW TERRACE,MONROE AVENUE,S,2018-06-25 08:20:17,2018-09-23 23:58:59,CONTRACT ROADWAY MILLING
216907,STANLEY AV       ,BEND,PORTLAND PLACE,S,2018-05-11 12:09:44,2018-06-10 23:58:59,REMOVAL OF POLES-PROTECTED
108505,EMERSON DR       ,CLOVE ROAD,DIANA TRAIL,S,2018-07-19 11:59:33,2018-08-20 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
108506,EMERSON DR       ,CLOVE ROAD,DIANA TRAIL,S,2018-07-19 11:59:33,2018-08-20 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
20276,61 ST       ,18 AVENUE,19 AVENUE,B,2018-08-29 00:00:00,2018-09-07 23:59:59,DOT IN-HOUSE MILLING
22338,11 ST       ,2 AVENUE,3 AVENUE,B,2018-03-21 00:00:00,2018-03-28 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
83114,POWER RD       ,32 AVENUE,NORTHERN BOULEVARD,Q,2018-08-01 00:00:00,2018-08-31 23:59:59,DOT IN-HOUSE MILLING
106930,W 155 ST,HARLEM RIVER DRIVE,EDGECOMBE AVENUE,M,2018-04-19 09:00:44,2018-07-15 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
106944,W 155 ST,BRADHURST AVENUE,EDGECOMBE AVENUE,M,2018-04-19 09:00:45,2018-07-15 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
106778,209 ST       ,99 AVENUE,DEAD END,Q,2018-05-01 00:00:00,2018-06-01 23:59:59,DOT IN-HOUSE MILLING
83114,POWER RD       ,32 AVENUE,NORTHERN BOULEVARD,Q,2018-08-01 00:00:00,2018-08-31 23:59:59,DOT IN-HOUSE PAVING
106778,209 ST       ,99 AVENUE,DEAD END,Q,2018-05-01 00:00:00,2018-06-01 23:59:59,DOT IN-HOUSE PAVING
108557,FT HILL CIRCLE      ,BEND,BEND,S,2018-07-11 12:09:50,2018-08-06 23:59:59,DOT IN-HOUSE PAVING
106916,PARK AV       ,EAST  153 STREET,EAST  155 STREET,X,2018-04-18 09:44:47,2018-04-30 23:58:59,REPAIR SEWER
22338,11 ST       ,2 AVENUE,3 AVENUE,B,2018-03-21 00:00:00,2018-03-28 23:58:59,PLACE CRANE OR SHOVEL ON STREET
9176,S GANNON AV,INGRAM AVENUE,WARWICK AVENUE,S,2018-05-10 08:26:46,2018-08-08 23:58:59,CONTRACT ROADWAY MILLING
9180,S GANNON AV,INGRAM AVENUE,KELL AVENUE,S,2018-05-10 08:26:45,2018-08-08 23:58:59,CONTRACT ROADWAY MILLING
40792,E 39 ST    ,AVENUE J,AVENUE K,B,2018-11-05 00:00:00,2018-11-09 23:59:59,DOT IN-HOUSE MILLING
252511,MAGUIRE AV       ,DEAD END,DRUMGOOLE ROAD WEST,S,2018-05-16 07:54:01,2018-05-31 23:59:59,DOT IN-HOUSE PAVING
40806,E 39 ST    ,AVENUE I,AVENUE J,B,2018-11-05 00:00:00,2018-11-09 23:59:59,DOT IN-HOUSE MILLING
9343,S GANNON AV,BUCHANAN AVENUE,MANN AVENUE,S,2018-05-10 08:26:43,2018-08-08 23:58:59,CONTRACT ROADWAY MILLING
9354,S GANNON AV,BRADLEY AVENUE,RAMSEY LANE,S,2018-05-10 08:26:41,2018-08-08 23:58:59,CONTRACT ROADWAY MILLING
9357,S GANNON AV,RAMSEY LANE,WHEELER AVENUE,S,2018-05-10 08:26:40,2018-08-08 23:58:59,CONTRACT ROADWAY MILLING
111672,READE ST       ,CENTRE STREET,ELK STREET,M,2018-06-24 00:00:00,2018-06-25 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
111672,READE ST       ,CENTRE STREET,ELK STREET,M,2018-06-24 00:00:00,2018-06-25 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
111672,READE ST       ,BROADWAY,ELK STREET,M,2018-06-24 00:00:00,2018-06-25 23:58:59,PLACE CRANE OR SHOVEL ON STREET
111673,READE ST       ,BROADWAY,ELK STREET,M,2018-06-24 00:00:00,2018-06-25 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
84373,37 AV       ,COLLEGE POINT BOULEVARD,PRINCE STREET,Q,2018-11-12 00:00:00,2018-12-13 23:58:59,PLACE CRANE OR SHOVEL ON STREET
40797,E 40 ST    ,AVENUE J,AVENUE K,B,2018-11-07 00:00:00,2018-11-16 23:59:59,DOT IN-HOUSE MILLING
40808,E 40 ST    ,AVENUE I,AVENUE J,B,2018-11-07 00:00:00,2018-11-16 23:59:59,DOT IN-HOUSE MILLING
13262,FOREST AV       ,GREENWOOD AVENUE,RIDGEWOOD PLACE,S,2018-10-05 07:19:04,2018-10-31 23:59:59,DOT IN-HOUSE MILLING
54936,LIBERTY AV       ,120 STREET,LEFFERTS BOULEVARD,Q,2018-10-22 00:00:00,2018-12-14 23:59:59,DOT IN-HOUSE PAVING
54936,LIBERTY AV       ,120 STREET,LEFFERTS BOULEVARD,Q,2018-10-24 14:10:15,2018-12-14 23:59:59,DOT IN-HOUSE PAVING
112376,TILLMAN ST       ,DEAD END,FINE BOULEVARD,S,2018-03-29 09:21:30,2018-04-30 23:59:59,DOT IN-HOUSE PAVING
194360,BELT PKWY       ,BELT PARKWAY EXIT    9 EASTBOUND,BATCHELDER STREET,B,2018-04-09 00:00:00,2018-04-17 23:59:59,DOT IN-HOUSE MILLING
194360,BELT PKWY       ,BELT PARKWAY EXIT    9 EASTBOUND,BATCHELDER STREET,B,2018-04-09 00:00:00,2018-04-17 23:59:59,DOT IN-HOUSE PAVING
194364,SHORE PKWY       ,BRIGHAM STREET,KNAPP STREET,B,2018-04-09 00:00:00,2018-04-17 23:59:59,DOT IN-HOUSE MILLING
194364,SHORE PKWY       ,BRIGHAM STREET,KNAPP STREET,B,2018-04-09 00:00:00,2018-04-17 23:59:59,DOT IN-HOUSE PAVING
19471,16 AV       ,BATH AVENUE,CROPSEY AVENUE,B,2018-04-12 00:00:00,2018-04-17 23:59:59,DOT IN-HOUSE MILLING
112486,PORTLAND PL       ,BRIGHTON AVENUE,STANLEY AVENUE,S,2018-04-11 15:28:25,2018-05-11 23:59:59,DOT IN-HOUSE PAVING
9546,S GANNON AV,PERRY AVENUE/CLOVELAKE EXPRESSWA,QUINLAN AVENUE,S,2018-05-10 08:26:37,2018-08-08 23:58:59,CONTRACT ROADWAY MILLING
164342,SUFFOLK ST       ,BROOME STREET,DELANCEY STREET,M,2018-06-11 16:53:36,2018-07-30 23:58:59,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV
115028,FT HILL PARK      ,DEAD END,HENDRICKS AVENUE,S,2018-06-28 09:15:23,2018-07-31 23:59:59,DOT IN-HOUSE PAVING
112904,SMEDLEY ST       ,84 DRIVE,84 ROAD,Q,2018-06-25 00:00:00,2018-07-25 23:59:59,DOT IN-HOUSE MILLING
112904,SMEDLEY ST       ,84 DRIVE,84 ROAD,Q,2018-06-25 00:00:00,2018-07-25 23:59:59,DOT IN-HOUSE PAVING
